target,feature,n,n_raw,outlier_filter,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
in_abs_error,raw_candidate_component_area_max_mean,3196,3822,iqr,0.2703998991389756,0.2703998991389756,0.058865263438552175,0.058865263438552175
in_abs_error,roi_flow_mag_p99_p50,3221,3822,iqr,0.2703634534747089,0.2703634534747089,0.11926577927011178,0.11926577927011178
in_abs_error,raw_component_count_p50,3073,3822,iqr,0.2701044451451305,0.2701044451451305,0.17800227905972862,0.17800227905972862
in_abs_error,raw_candidate_component_area_p90_p90,2849,3222,iqr,0.26807151352783753,0.26807151352783753,0.14711429658811742,0.14711429658811742
in_abs_error,raw_candidate_component_count_p90,3225,3822,iqr,0.2676972254658127,0.2676972254658127,0.11468913882820798,0.11468913882820798
in_abs_error,roi_flow_active_ratio_p50,3060,3822,iqr,0.2675234527278232,0.2675234527278232,0.13372043827787966,0.13372043827787966
in_abs_error,filtered_candidate_component_area_p90_std,2301,2515,iqr,0.2674137468321339,0.2674137468321339,0.2458756392951385,0.2458756392951385
in_abs_error,filtered_in_flux_p90,3083,3822,iqr,0.26724939513248547,0.26724939513248547,0.12388487498593255,0.12388487498593255
in_abs_error,raw_candidate_component_area_ratio_mean,3065,3822,iqr,0.2666694652848453,0.2666694652848453,0.02719437383366731,0.02719437383366731
in_abs_error,top_filtered_in_flux_p90,3082,3822,iqr,0.26598596765185456,0.26598596765185456,0.13823791573742356,0.13823791573742356
in_abs_error,persistence_mean_mean,3064,3822,iqr,0.2658966102371295,0.2658966102371295,0.026307772135382938,0.026307772135382938
in_abs_error,filtered_candidate_component_count_p90,3220,3822,iqr,0.2658600467423806,0.2658600467423806,0.11318900321303133,0.11318900321303133
in_abs_error,valid_component_count_p90,3220,3822,iqr,0.2658600467423806,0.2658600467423806,0.11318900321303133,0.11318900321303133
in_abs_error,frame_diff_p90_std,3053,3822,iqr,0.265087176979395,0.265087176979395,0.07911648554132969,0.07911648554132969
in_abs_error,persistence_max_mean,3225,3822,iqr,0.2650604394326117,0.2650604394326117,0.10019531537500695,0.10019531537500695
in_abs_error,raw_candidate_ratio_band_p90,3214,3822,iqr,0.26333387217357734,0.26333387217357734,0.09851656372093325,0.09851656372093325
in_abs_error,persistent_candidate_pixels_p90,3131,3822,iqr,0.2622949750856029,0.2622949750856029,0.08893950736952148,0.08893950736952148
in_abs_error,raw_candidate_ratio_band_mean,3082,3822,iqr,0.26134437901005775,0.26134437901005775,0.02910298136063086,0.02910298136063086
in_abs_error,raw_component_count_mean,3109,3822,iqr,0.2606784151081265,0.2606784151081265,0.04416025268112864,0.04416025268112864
in_abs_error,top_raw_candidate_pixels_mean,3136,3822,iqr,0.26066613884025597,0.26066613884025597,0.014321241271541222,0.014321241271541222
in_abs_error,rejected_component_count_p50,3181,3822,iqr,0.2603677833625012,0.2603677833625012,0.1812474697208395,0.1812474697208395
in_abs_error,roi_flow_mag_mean_p50,3027,3822,iqr,0.25963169528673674,0.25963169528673674,0.08911968687600658,0.08911968687600658
in_abs_error,filtered_out_flux_p90,3053,3822,iqr,0.25957685129959013,0.25957685129959013,0.1118125084528512,0.1118125084528512
in_abs_error,raw_out_flux_p90,3104,3822,iqr,0.2594922213680797,0.2594922213680797,0.10038721618225964,0.10038721618225964
in_abs_error,top_raw_out_flux_p90,3107,3822,iqr,0.25897921945278674,0.25897921945278674,0.12046518541983214,0.12046518541983214
in_abs_error,band_normal_abs_p90_mean,3097,3822,iqr,0.25807745513873714,0.25807745513873714,0.0503312682580605,0.0503312682580605
in_abs_error,band_flow_mag_p90_mean,3120,3822,iqr,0.25786483312102526,0.25786483312102526,0.05157304064775052,0.05157304064775052
in_abs_error,top_raw_candidate_pixels_p90,3225,3822,iqr,0.2568796186222014,0.2568796186222014,0.11063464052833956,0.11063464052833956
in_abs_error,left_filtered_candidate_pixels_std,3225,3822,iqr,0.25681381246709145,0.25681381246709145,0.070562603980552,0.070562603980552
in_abs_error,top_filtered_candidate_pixels_p90,3207,3822,iqr,0.25658711016784896,0.25658711016784896,0.12612960929829733,0.12612960929829733
in_abs_error,raw_traffic_flux_p90,3126,3822,iqr,0.2561711903711278,0.2561711903711278,0.08368656342588815,0.08368656342588815
in_abs_error,roi_flow_active_ratio_mean,3081,3822,iqr,0.25602552656951943,0.25602552656951943,0.024710051038909567,0.024710051038909567
in_abs_error,total_raw_in_flux,3049,3822,iqr,0.25565943135724073,0.25565943135724073,0.008569053322232638,0.008569053322232638
in_abs_error,raw_in_flux_mean,3049,3822,iqr,0.25564030739606275,0.25564030739606275,0.008551012796857965,0.008551012796857965
